month,annual,nonannual,difference
1985-02-01,,0.030135609053253028,
1985-03-01,,0.05670440016288829,
1985-04-01,,-0.052509724433999365,
1985-05-01,,-0.05764416823905972,
1985-06-01,,0.07668735862689666,
1985-07-01,,-0.018285172413896315,
1985-08-01,,-0.06101653791816957,
1985-09-01,,-0.07808486042672651,
1985-10-01,,0.018484008488005063,
1985-11-01,,-0.2434387867130106,
1985-12-01,,0.002953620173346547,
1986-01-01,0.01542684630122421,-0.04764092907120087,0.06306777537242508
1986-02-01,0.01572436686084315,0.13164776666669972,-0.11592339980585657
1986-03-01,3.802219486799541e-05,0.07125364001030435,-0.07121561781543635
1986-04-01,0.055150293302950994,0.11072848928108374,-0.055578195978132745
1986-05-01,0.040157278059932716,-0.0019204989260351649,0.04207777698596788
1986-06-01,0.00404938438488368,-0.011677100775460374,0.015726485160344056
1986-07-01,-0.014125680109658565,-0.06566488901515898,0.051539208905500414
1986-08-01,-0.00941572009252055,-0.025585572415345568,0.01616985232282502
1986-09-01,0.05069289498014864,-0.048869938864897225,0.09956283384504586
1986-10-01,-0.06011721557703435,0.028107871616850643,-0.088225087193885
1986-11-01,-0.04191383797318923,-0.057120984808749,0.015207146835559765
1986-12-01,-0.16063112068767973,0.16566929015283222,-0.326300410840512
1987-01-01,-0.08103515128046743,-0.07519853468462456,-0.005836616595842864
1987-02-01,-0.011019969008114486,-0.0056907393688095526,-0.005329229639304933
1987-03-01,0.1572624322434562,0.03471493622160879,0.12254749602184742
1987-04-01,-0.1507207497465628,0.0414730733637821,-0.19219382311034489
1987-05-01,-0.06117910461893784,-0.01486525127001024,-0.046313853348927604
1987-06-01,0.04338671289775167,-0.04558092496327041,0.08896763786102208
1987-07-01,-0.02932043098529718,-0.03994227952061997,0.01062184853532279
1987-08-01,-0.015813574191273508,0.016330020691968927,-0.032143594883242435
1987-09-01,0.029690359877652114,-0.03129107951781512,0.06098143939546723
1987-10-01,0.09819900803087234,0.03446070738656726,0.06373830064430508
1987-11-01,0.018969951012482028,0.0203341687936183,-0.0013642177811362712
1987-12-01,0.04992733087817407,-0.017486417647945916,0.06741374852611998
1988-01-01,-0.012588208425978664,0.011021675216946109,-0.023609883642924774
1988-02-01,-0.010419940812386216,-0.007506948721953691,-0.0029129920904325257
1988-03-01,-0.020555193424504792,-0.02394116937229359,0.0033859759477887982
1988-04-01,0.014320573411402665,-0.03205022501668406,0.046370798428086724
1988-05-01,0.02808938749916043,-0.011320765738667634,0.039410153237828066
1988-06-01,0.006515427867529594,-0.01640194854191227,0.022917376409441866
1988-07-01,-0.005986455000312396,-0.011557306946342764,0.0055708519460303686
1988-08-01,-0.021017371946262763,-0.0038852310230281586,-0.017132140923234604
1988-09-01,0.02122519139236204,-0.004292183014443114,0.025517374406805154
