table_id,metric_name,value
T1,m3_fep3_cond_l3,0.10205882352941177
T1,m3_fep3_cond_l4,0.10314658480429778
T1,m3_fep4_uncond,0.10012266769965782
T1,m3_fep4_cond_l1,0.10881039382866423
T1,m3_fep4_cond_l2,0.09637028700056274
T1,m3_fep4_cond_l3,0.10391323464751576
T1,m3_fep4_cond_l4,0.09961270333075135
T1,m3_fep5_uncond,0.10052295177222545
T1,m3_fep5_cond_l1,0.10948217888365837
T1,m3_fep5_cond_l2,0.10567624386825508
T1,m3_fep5_cond_l3,0.09766827980642323
T1,m3_fep5_cond_l4,0.10664014687882498
T1,m3_fep6_uncond,0.09961908451158887
T1,m3_fep6_cond_l1,0.10470202296336796
T1,m3_fep6_cond_l2,0.09803082191780822
T1,m3_fep6_cond_l3,0.09295396990913153
T1,m3_fep6_cond_l4,0.10366232153941651
T1,m3_fep7_uncond,0.1004325650461618
T1,m3_fep7_cond_l1,0.10006724949562879
T1,m3_fep7_cond_l2,0.10338556239507554
T1,m3_fep7_cond_l3,0.10470365516237076
T1,m3_fep7_cond_l4,0.1048313582497721
T1,m3_fep8_uncond,0.09939957389114856
T1,m3_fep8_cond_l1,0.10530601167051161
T1,m3_fep8_cond_l2,0.10901142293047525
T1,m3_fep8_cond_l3,0.1073221139651609
T1,m3_fep8_cond_l4,0.10584615384615384
T1,m3_fep9_uncond,0.09890890309251726
T1,m3_fep9_cond_l1,0.1054840893703453
T1,m3_fep9_cond_l2,0.1064342403628118
T1,m3_fep9_cond_l3,0.1032248564276248
T1,m3_fep9_cond_l4,0.10159607120933088
T1,m3_fep10_uncond,0.1000193685841565
T1,m3_fep10_cond_l1,0.13367986138877783
T1,m3_fep10_cond_l2,0.1265609653430616
T1,m3_fep10_cond_l3,0.10992856101472517
T1,m3_fep10_cond_l4,0.10648007301490721
T1,m4_fep1_uncond,0.10204319001279417
T1,m4_fep1_cond_l1,0.16616114994065673
T1,m4_fep1_cond_l2,0.14038488162813237
T1,m4_fep1_cond_l3,0.165080738177624
T1,m4_fep1_cond_l4,0.1474494415937217
T1,m4_fep2_uncond,0.09768800320500394
T1,m4_fep2_cond_l1,0.10843870258383727
T1,m4_fep2_cond_l2,0.10612597066436583
T1,m4_fep2_cond_l3,0.11151241534988714
T1,m4_fep2_cond_l4,0.10123574144486693
T1,m4_fep3_uncond,0.09895449669807053
T1,m4_fep3_cond_l1,0.10256061018795969
T1,m4_fep3_cond_l2,0.10730464326160816
T1,m4_fep3_cond_l3,0.09955489614243324
T1,m4_fep3_cond_l4,0.10744186046511628
T1,m4_fep4_uncond,0.10099639437056565
T1,m4_fep4_cond_l1,0.10632299637535239
T1,m4_fep4_cond_l2,0.0999017819559422
T1,m4_fep4_cond_l3,0.11002194586686175
T1,m4_fep4_cond_l4,0.10708853057499239
T1,m4_fep5_uncond,0.10025976040010856
T1,m4_fep5_cond_l1,0.10479405806887239
T1,m4_fep5_cond_l2,0.10189640532125673
T1,m4_fep5_cond_l3,0.1057960381511372
T1,m4_fep5_cond_l4,0.10459222853632315
T1,m4_fep6_uncond,0.10014344977319428
T1,m4_fep6_cond_l1,0.10895522388059702
T1,m4_fep6_cond_l2,0.10227433253284363
T1,m4_fep6_cond_l3,0.10577633328408922
T1,m4_fep6_cond_l4,0.1055299539170507
